itow,lat,lon,alt,hAcc,vAcc,fixType,numSV,pDOP
112636000,46.2712675,-164.6725528,11122.617,4294967.295,3750000.128,0,0,99.99
112637000,46.2755142,-164.6675495,11124.193,4294967.295,3749999.872,0,0,99.99
112638005,35.3356739,139.4634722,11.300,5.029,8.515,3,9,2.09
112639000,35.3356739,139.4634728,11.617,4.087,4.104,3,10,1.86
112640000,35.3356739,139.4634732,11.765,3.873,4.442,3,10,1.86
112641000,35.3356760,139.4634668,11.634,3.637,4.324,3,14,1.55
112642000,35.3356769,139.4634634,11.544,3.456,4.223,3,14,1.55
112643000,35.3356775,139.4634605,11.466,3.281,4.119,3,18,1.44
112644000,35.3356778,139.4634588,11.360,3.133,4.024,3,18,1.44
112645000,35.3356779,139.4634572,11.277,2.986,3.935,3,18,1.44
