timestampMs,gnssId,svId,freqId,numWords,dwrd
1776064618058,6,4,13,4,75A47A2E E7C09730 236F3800 00000000
1776064618058,6,4,13,4,75A47A2E E7C09730 236F3800 00000000
1776064618059,6,4,13,4,75A47A2E E7C09730 236F3800 00000000
1776064618060,6,18,4,4,75A4782E E7C09730 236ED000 00000000
1776064618060,6,255,4,4,75A4782E E7C09730 236ED000 00000000
1776064618061,6,3,12,4,75A4782E E7C09730 236ED000 00000000
1776064618061,6,19,10,4,75A47A2E E7C09730 236F3800 00000000
1776064618061,6,255,4,4,75A4782E E7C09730 236ED000 00000000
1776064618068,6,5,8,4,75A47A2E E7C09730 236F3800 00000000
1776064618071,6,255,11,4,75A4782E E7C09730 236ED000 00000000
1776064619062,2,7,0,8,100192B9 4FCC0FBA D57447A9 53FF0000 90201BA3 57D0B2AA AAAA5803 B14AC000
1776064619065,2,26,0,8,10F0D9BC F849EF65 DD5EAF92 F4048000 80601863 A493872A AAAA6902 5D0AC000
1776064619187,2,29,0,8,103837FE 2DA9A0BA D76E06E8 9BFCC000 883014D0 314D24AA AAAA6DD0 DE4AC000
1776064619189,2,33,0,8,10C8567C 546CFD65 FCE07118 9BFFC000 93300F3D F6AB20EA AAAA4F58 778AC000
1776064620042,0,19,0,10,22C16E27 092AAB9F 0016CDFF 2586B62F 000109DA 80FDBFAB 08A11E09 916ED976 BFE8C6A7 157AD0EF
1776064620043,0,9,0,10,22C16E27 092AAB9F 3FFDEC82 9A9C19EF 3FF889D8 14317F00 097694D7 30078C5C 3FE8FF88 13402D9C
1776064620043,0,6,0,10,22C16E27 092AAB9F 000517F3 0F14B403 3FFF0A17 0C84160D 85E87A93 0D044BD4 3FEB54B6 90FD3D33
1776064620047,0,11,0,10,22C16E27 092AAB9F 000B57C9 BD9DD7CD BFF0C9CE 903F31DA 85AC6874 08CD96FA BFEAA29E B93D258C
1776064620047,0,21,0,10,22C16E27 092AAB9F 000AE27E AAB37CA0 0003C9F6 905F1F70 0853BE3E 878532C5 BFE9A29D A4C48998
1776064620049,0,17,0,10,22C16E27 092AAB9F 3FD64D73 331CEB4C 000CC9FC 033324C3 089A749D A56FAE97 3FE8D086 94FBE13C
1776064620050,0,4,0,10,22C16E27 092AAB9F 00076D7E 82EABB15 BFF849E0 233D85BC 097CE2FB 0227FE66 BFE96CFC 29C031D8
1776064620055,0,12,0,10,22C16E27 092AAB9F 3FF602F7 2BB42187 3FE689CF 05B20FA5 8727D032 85CBF17A BFE99382 8842D5D0
1776064620059,6,4,13,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620060,6,4,13,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620060,6,18,4,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620061,6,255,4,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620061,6,3,12,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620061,6,19,10,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620062,6,4,13,4,7CAD73BE F1B4BF4F 02232800 00000000
1776064620062,6,255,4,4,7CAD73BE F1B4BF4F 02232800 00000000
